                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.38,                0.07634,                0.33588,                 2.6481,             0.00023571,             0.00023571,             0.00023571
                      2,                 1.4806,                 0.0916,                0.31298,                 2.6674,             0.00046902,             0.00046902,             0.00046902
                      3,                 0.8072,                 0.0687,                0.33588,                  2.663,             0.00069762,             0.00069762,             0.00069762
                      4,                0.37668,                0.05344,                0.35878,                 2.6818,             0.00069279,             0.00069279,             0.00069279
                      5,                0.18766,                 0.0687,                0.31298,                 2.6774,             0.00069279,             0.00069279,             0.00069279
                      6,                0.15657,                 0.0687,                0.30534,                  2.646,             0.00068573,             0.00068573,             0.00068573
                      7,                0.14046,                0.07634,                0.33588,                 2.6822,             0.00067866,             0.00067866,             0.00067866
                      8,                0.10906,                 0.0687,                0.31298,                 2.6788,             0.00067159,             0.00067159,             0.00067159
                      9,                0.06842,                0.05344,                0.29771,                 2.6878,             0.00066452,             0.00066452,             0.00066452
                     10,                0.06208,                0.06107,                0.35115,                 2.6871,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.0576,                0.05344,                0.34351,                 2.6259,             0.00065038,             0.00065038,             0.00065038
                     12,                0.04968,                 0.0458,                0.29008,                 2.6901,             0.00064331,             0.00064331,             0.00064331
                     13,                0.03109,                0.05344,                0.31298,                 2.6995,             0.00063625,             0.00063625,             0.00063625
                     14,                0.03575,                0.05344,                0.29008,                 2.6949,             0.00062918,             0.00062918,             0.00062918
